query-id	corpus-id	score
1292	56893404	1
956	12956194	1
560	40096222	1
354	8774475	1
532	12991445	1
212	22038539	1
628	24512064	1
1278	11335781	1
644	13619127	1
830	1897324	1
814	33387953	1
56	4709641	1
837	15928989	1
183	12827098	1
163	18872233	1
808	36606083	1
914	3203590	1
784	2356950	1
783	40632104	1
1012	9745001	1
636	24294572	1
1344	9559146	1
1099	7662206	1
1332	5304891	1
1335	27910499	1
1273	11041152	1
513	13230773	1
230	3067015	1
198	2177022	1
380	19005293	1
715	18421962	1
514	16256507	1
721	1834762	1
692	24088502	1
805	22180793	1
1337	20231138	1
1024	5373138	1
386	16495649	1
54	49556906	1
539	13282296	1
294	10874408	1
552	1471041	1
399	791050	1
213	13625993	1
1272	17081238	1
298	39381118	1
690	18750453	1
535	39368721	1
727	7521113	1
50	12580014	1
